Page 1: ['#0055b7', '#17c5ec', '#3276c5', '#548dce', '#d2e1f2']
Page 2: ['#0055b7', '#17c5ec', '#4382ca', '#1d68bf', '#0e5ebb']
Page 3: ['#0055b7', '#282230', '#17c5ec', '#292331', '#2a2432']
Page 4: ['#0055b7', '#17c5ec', '#f0f5fa', '#0672c5', '#10a7dd']
Page 5: ['#0055b7', '#53c8e7', '#9163cc', '#c62753', '#7ca7d9']
Page 6: ['#0055b7', '#53c8e7', '#9163cc', '#c62753', '#c31c49']
Page 7: ['#0055b7', '#53c8e7', '#c62753', '#d8e5f4', '#9163cc']
Page 8: ['#0055b7', '#f0c6d2', '#c62753', '#53c8e7', '#9163cc']
Page 9: ['#0055b7', '#c62753', '#9163cc', '#53c8e7', '#f4d4dd']
Page 10: ['#effafc', '#0055b7', '#d8e5f4', '#53c8e7', '#c62753']
Page 11: ['#bcd2ec', '#0055b7', '#c62753', '#e9edf0', '#e2ebf7']
Page 12: ['#0055b7', '#53c8e7', '#c62753', '#bcd2ec', '#e9edf0']
Page 13: ['#f2cdd7', '#f5d9e1', '#0055b7', '#f8e3e9', '#f4d4dd']
Page 14: ['#0055b7', '#d3e1f3', '#2c72c2', '#dee9f6', '#abc7e7']
Page 15: ['#0055b7', '#0e5eba', '#c4d7ee', '#4381c9', '#1d68be']
